HDR,ROLLING SYSTEM DEMAND
VD,20200220000000,25806
VD,20200220000500,25770
VD,20200220001000,25717
VD,20200220001500,25725
VD,20200220002000,25798
VD,20200220002500,25816
VD,20200220003000,25785
VD,20200220003500,25976
VD,20200220004000,26065
VD,20200220004500,26098
VD,20200220005000,26143
VD,20200220005500,26169
VD,20200220010000,26157
VD,20200220010500,26190
VD,20200220011000,26301
VD,20200220011500,26286
VD,20200220012000,26136
VD,20200220012500,26040
VD,20200220013000,25908
VD,20200220013500,25829
VD,20200220014000,25749
VD,20200220014500,25665
VD,20200220015000,25597
VD,20200220015500,25548
VD,20200220020000,25480
VD,20200220020500,25370
VD,20200220021000,25405
VD,20200220021500,25405
VD,20200220022000,25337
VD,20200220022500,25282
VD,20200220023000,25309
VD,20200220023500,25456
VD,20200220024000,25384
VD,20200220024500,25386
VD,20200220025000,25315
VD,20200220025500,25263
VD,20200220030000,25159
VD,20200220030500,24797
VD,20200220031000,24794
VD,20200220031500,24898
VD,20200220032000,24944
VD,20200220032500,24908
VD,20200220033000,24792
VD,20200220033500,24708
VD,20200220034000,24666
VD,20200220034500,24710
VD,20200220035000,24711
VD,20200220035500,24629
VD,20200220040000,24552
VD,20200220040500,24269
VD,20200220041000,24177
VD,20200220041500,24164
VD,20200220042000,24170
VD,20200220042500,24164
VD,20200220043000,24148
VD,20200220043500,24028
VD,20200220044000,23929
VD,20200220044500,23848
VD,20200220045000,23859
VD,20200220045500,23962
VD,20200220050000,24023
VD,20200220050500,24341
VD,20200220051000,24279
VD,20200220051500,24149
VD,20200220052000,24247
VD,20200220052500,24391
VD,20200220053000,24485
VD,20200220053500,24569
VD,20200220054000,24701
VD,20200220054500,24811
VD,20200220055000,24985
VD,20200220055500,25293
VD,20200220060000,25770
VD,20200220060500,26818
VD,20200220061000,27369
VD,20200220061500,28005
VD,20200220062000,28364
VD,20200220062500,28695
VD,20200220063000,29212
VD,20200220063500,29667
VD,20200220064000,29901
VD,20200220064500,30178
VD,20200220065000,30553
VD,20200220065500,31084
VD,20200220070000,31440
VD,20200220070500,32108
VD,20200220071000,32586
VD,20200220071500,32785
VD,20200220072000,33081
VD,20200220072500,33328
VD,20200220073000,33504
VD,20200220073500,33612
VD,20200220074000,33887
VD,20200220074500,34107
VD,20200220075000,34283
VD,20200220075500,34513
VD,20200220080000,34798
VD,20200220080500,35361
VD,20200220081000,35525
VD,20200220081500,35537
VD,20200220082000,35808
VD,20200220082500,35938
VD,20200220083000,36153
VD,20200220083500,36464
VD,20200220084000,36549
VD,20200220084500,36605
VD,20200220085000,36726
VD,20200220085500,36806
VD,20200220090000,36856
VD,20200220090500,37083
VD,20200220091000,37088
VD,20200220091500,37205
VD,20200220092000,37310
VD,20200220092500,37447
VD,20200220093000,37539
VD,20200220093500,37652
VD,20200220094000,37804
VD,20200220094500,37706
VD,20200220095000,37728
VD,20200220095500,37786
VD,20200220100000,37824
VD,20200220100500,37847
VD,20200220101000,37848
VD,20200220101500,37951
VD,20200220102000,37999
VD,20200220102500,38035
VD,20200220103000,38138
VD,20200220103500,37911
VD,20200220104000,38151
VD,20200220104500,38223
VD,20200220105000,38273
VD,20200220105500,38281
VD,20200220110000,38373
VD,20200220110500,38682
VD,20200220111000,38602
VD,20200220111500,38461
VD,20200220112000,38482
VD,20200220112500,38643
VD,20200220113000,38669
VD,20200220113500,38865
VD,20200220114000,38771
VD,20200220114500,38576
VD,20200220115000,38641
VD,20200220115500,38707
VD,20200220120000,38808
VD,20200220120500,38883
VD,20200220121000,39052
VD,20200220121500,38982
VD,20200220122000,38694
VD,20200220122500,38700
VD,20200220123000,38576
VD,20200220123500,38510
VD,20200220124000,38613
VD,20200220124500,38430
VD,20200220125000,38350
VD,20200220125500,38271
VD,20200220130000,38243
VD,20200220130500,38281
VD,20200220131000,38341
VD,20200220131500,38206
VD,20200220132000,38249
VD,20200220132500,38178
VD,20200220133000,37987
VD,20200220133500,37604
VD,20200220134000,37247
VD,20200220134500,37141
VD,20200220135000,37186
VD,20200220135500,37190
VD,20200220140000,37255
VD,20200220140500,37340
VD,20200220141000,37216
VD,20200220141500,37140
VD,20200220142000,37155
VD,20200220142500,37066
VD,20200220143000,36962
VD,20200220143500,36849
VD,20200220144000,36952
VD,20200220144500,37028
VD,20200220145000,36803
VD,20200220145500,36663
VD,20200220150000,36547
VD,20200220150500,36336
VD,20200220151000,36165
VD,20200220151500,36326
VD,20200220152000,36247
VD,20200220152500,36199
VD,20200220153000,36372
VD,20200220153500,36476
VD,20200220154000,36435
VD,20200220154500,36401
VD,20200220155000,36391
VD,20200220155500,36444
VD,20200220160000,36547
VD,20200220160500,36562
VD,20200220161000,36777
VD,20200220161500,37008
VD,20200220162000,37225
VD,20200220162500,37328
VD,20200220163000,37487
VD,20200220163500,37634
VD,20200220164000,37678
VD,20200220164500,37891
VD,20200220165000,38290
VD,20200220165500,38539
VD,20200220170000,38802
VD,20200220170500,39170
VD,20200220171000,39325
VD,20200220171500,39502
VD,20200220172000,39697
VD,20200220172500,39868
VD,20200220173000,39987
VD,20200220173500,40253
VD,20200220174000,40557
VD,20200220174500,40950
VD,20200220175000,41178
VD,20200220175500,41249
VD,20200220180000,41543
VD,20200220180500,41893
VD,20200220181000,41752
VD,20200220181500,41605
VD,20200220182000,41774
VD,20200220182500,41558
VD,20200220183000,41453
VD,20200220183500,41568
VD,20200220184000,41531
VD,20200220184500,41422
VD,20200220185000,41417
VD,20200220185500,41273
VD,20200220190000,41138
VD,20200220190500,40922
VD,20200220191000,40855
VD,20200220191500,40807
VD,20200220192000,40645
VD,20200220192500,40334
VD,20200220193000,40170
VD,20200220193500,40207
VD,20200220194000,40106
VD,20200220194500,39826
VD,20200220195000,39628
VD,20200220195500,39305
VD,20200220200000,39151
VD,20200220200500,39134
VD,20200220201000,38828
VD,20200220201500,38434
VD,20200220202000,38149
VD,20200220202500,37976
VD,20200220203000,37866
VD,20200220203500,37540
VD,20200220204000,37311
VD,20200220204500,37066
VD,20200220205000,36809
VD,20200220205500,36674
VD,20200220210000,36496
VD,20200220210500,36178
VD,20200220211000,36020
VD,20200220211500,35482
VD,20200220212000,34928
VD,20200220212500,34461
VD,20200220213000,34105
VD,20200220213500,33842
VD,20200220214000,33561
VD,20200220214500,33289
VD,20200220215000,32965
VD,20200220215500,32777
VD,20200220220000,32431
VD,20200220220500,32077
VD,20200220221000,31776
VD,20200220221500,31421
VD,20200220222000,31049
VD,20200220222500,30557
VD,20200220223000,30381
VD,20200220223500,30300
VD,20200220224000,30141
VD,20200220224500,29787
VD,20200220225000,29460
VD,20200220225500,29165
VD,20200220230000,28831
VD,20200220230500,28262
VD,20200220231000,27946
VD,20200220231500,27600
VD,20200220232000,27347
VD,20200220232500,27106
VD,20200220233000,26908
VD,20200220233500,26845
VD,20200220234000,26816
VD,20200220234500,26664
VD,20200220235000,26452
VD,20200220235500,26424
VD,20200221000000,26457
VD,20200221000500,26936
VD,20200221001000,27134
VD,20200221001500,27068
VD,20200221002000,26973
VD,20200221002500,26877
VD,20200221003000,27039
VD,20200221003500,27309
VD,20200221004000,27471
VD,20200221004500,27586
VD,20200221005000,27571
VD,20200221005500,27517
VD,20200221010000,27322
VD,20200221010500,27231
VD,20200221011000,27170
VD,20200221011500,27126
VD,20200221012000,27100
VD,20200221012500,27058
VD,20200221013000,26889
VD,20200221013500,26768
VD,20200221014000,26710
VD,20200221014500,26568
VD,20200221015000,26460
VD,20200221015500,26379
VD,20200221020000,26259
VD,20200221020500,26205
VD,20200221021000,26133
VD,20200221021500,26111
VD,20200221022000,26129
VD,20200221022500,26210
VD,20200221023000,26170
VD,20200221023500,26188
VD,20200221024000,26187
VD,20200221024500,26169
VD,20200221025000,26122
VD,20200221025500,26089
VD,20200221030000,26018
VD,20200221030500,25690
VD,20200221031000,25559
VD,20200221031500,25474
VD,20200221032000,25388
VD,20200221032500,25347
VD,20200221033000,25249
VD,20200221033500,25246
VD,20200221034000,25207
VD,20200221034500,25151
VD,20200221035000,25114
VD,20200221035500,25051
VD,20200221040000,25038
VD,20200221040500,25065
VD,20200221041000,25303
VD,20200221041500,25339
VD,20200221042000,25290
VD,20200221042500,25310
VD,20200221043000,25272
VD,20200221043500,25334
VD,20200221044000,25377
VD,20200221044500,25312
VD,20200221045000,25340
VD,20200221045500,25334
VD,20200221050000,25343
VD,20200221050500,25234
VD,20200221051000,25319
VD,20200221051500,25448
VD,20200221052000,25663
VD,20200221052500,25751
VD,20200221053000,25849
VD,20200221053500,26091
VD,20200221054000,26282
VD,20200221054500,26469
VD,20200221055000,26682
VD,20200221055500,26878
VD,20200221060000,26790
VD,20200221060500,27305
VD,20200221061000,27881
VD,20200221061500,28236
VD,20200221062000,28542
VD,20200221062500,28865
VD,20200221063000,29273
VD,20200221063500,29710
VD,20200221064000,30138
VD,20200221064500,30476
VD,20200221065000,30757
VD,20200221065500,31136
VD,20200221070000,31467
VD,20200221070500,32156
VD,20200221071000,32566
VD,20200221071500,32956
VD,20200221072000,33253
VD,20200221072500,33404
VD,20200221073000,33624
VD,20200221073500,33844
VD,20200221074000,34202
VD,20200221074500,34427
VD,20200221075000,34591
VD,20200221075500,34750
VD,20200221080000,34896
VD,20200221080500,35431
VD,20200221081000,35672
VD,20200221081500,35892
VD,20200221082000,36076
VD,20200221082500,36222
VD,20200221083000,36443
VD,20200221083500,36675
VD,20200221084000,36773
VD,20200221084500,36837
VD,20200221085000,36896
VD,20200221085500,37035
VD,20200221090000,37165
VD,20200221090500,37315
VD,20200221091000,37309
VD,20200221091500,37347
VD,20200221092000,37371
VD,20200221092500,37356
VD,20200221093000,37446
VD,20200221093500,37516
VD,20200221094000,37540
VD,20200221094500,37419
VD,20200221095000,37444
VD,20200221095500,37364
VD,20200221100000,37346
VD,20200221100500,37485
VD,20200221101000,37378
VD,20200221101500,37309
VD,20200221102000,37323
VD,20200221102500,37336
VD,20200221103000,37359
VD,20200221103500,37358
VD,20200221104000,37258
VD,20200221104500,37197
VD,20200221105000,37029
VD,20200221105500,36983
VD,20200221110000,37039
VD,20200221110500,37155
VD,20200221111000,37216
VD,20200221111500,37220
VD,20200221112000,37112
VD,20200221112500,37260
VD,20200221113000,37298
VD,20200221113500,37314
VD,20200221114000,37429
VD,20200221114500,37398
VD,20200221115000,37335
VD,20200221115500,37387
VD,20200221120000,37422
VD,20200221120500,37469
VD,20200221121000,37549
VD,20200221121500,37565
VD,20200221122000,37556
VD,20200221122500,37600
VD,20200221123000,37606
VD,20200221123500,37622
VD,20200221124000,37548
VD,20200221124500,37533
VD,20200221125000,37544
VD,20200221125500,37458
VD,20200221130000,37436
VD,20200221130500,37411
VD,20200221131000,37343
VD,20200221131500,37256
VD,20200221132000,37163
VD,20200221132500,37142
VD,20200221133000,37063
VD,20200221133500,36974
VD,20200221134000,37052
VD,20200221134500,36933
VD,20200221135000,36900
VD,20200221135500,36842
VD,20200221140000,36814
VD,20200221140500,36840
VD,20200221141000,36819
VD,20200221141500,36805
VD,20200221142000,36756
VD,20200221142500,36622
VD,20200221143000,36569
VD,20200221143500,36559
VD,20200221144000,36473
VD,20200221144500,36496
VD,20200221145000,36425
VD,20200221145500,36258
VD,20200221150000,36230
VD,20200221150500,36433
VD,20200221151000,36286
VD,20200221151500,36276
VD,20200221152000,36305
VD,20200221152500,36325
VD,20200221153000,36378
VD,20200221153500,36507
VD,20200221154000,36500
VD,20200221154500,36453
VD,20200221155000,36448
VD,20200221155500,36393
VD,20200221160000,36343
VD,20200221160500,36276
VD,20200221161000,36255
VD,20200221161500,36220
VD,20200221162000,36248
VD,20200221162500,36361
VD,20200221163000,36462
VD,20200221163500,36733
VD,20200221164000,36842
VD,20200221164500,37019
VD,20200221165000,37118
VD,20200221165500,37183
VD,20200221170000,37558
VD,20200221170500,37877
VD,20200221171000,37961
VD,20200221171500,38192
VD,20200221172000,38576
VD,20200221172500,38721
VD,20200221173000,38848
VD,20200221173500,38954
VD,20200221174000,39256
VD,20200221174500,39512
VD,20200221175000,39715
VD,20200221175500,39720
VD,20200221180000,39826
VD,20200221180500,39886
VD,20200221181000,39871
VD,20200221181500,39759
VD,20200221182000,39738
VD,20200221182500,39660
VD,20200221183000,39589
VD,20200221183500,39582
VD,20200221184000,39346
VD,20200221184500,39313
VD,20200221185000,39273
VD,20200221185500,39143
VD,20200221190000,38922
VD,20200221190500,39020
VD,20200221191000,38815
VD,20200221191500,38430
VD,20200221192000,38261
VD,20200221192500,37929
VD,20200221193000,37835
VD,20200221193500,37714
VD,20200221194000,37494
VD,20200221194500,37187
VD,20200221195000,36936
VD,20200221195500,36685
VD,20200221200000,36330
VD,20200221200500,35954
VD,20200221201000,35773
VD,20200221201500,35513
VD,20200221202000,35265
VD,20200221202500,34898
VD,20200221203000,34793
VD,20200221203500,34747
VD,20200221204000,34489
VD,20200221204500,34210
VD,20200221205000,33996
VD,20200221205500,33811
VD,20200221210000,33597
VD,20200221210500,33304
VD,20200221211000,33038
VD,20200221211500,32720
VD,20200221212000,32410
VD,20200221212500,32045
VD,20200221213000,31812
VD,20200221213500,31668
VD,20200221214000,31348
VD,20200221214500,31003
VD,20200221215000,30761
VD,20200221215500,30472
VD,20200221220000,30146
VD,20200221220500,29735
VD,20200221221000,29403
VD,20200221221500,29125
VD,20200221222000,28751
VD,20200221222500,28475
VD,20200221223000,28344
VD,20200221223500,28246
VD,20200221224000,28060
VD,20200221224500,27774
VD,20200221225000,27434
VD,20200221225500,27170
VD,20200221230000,26817
VD,20200221230500,26463
VD,20200221231000,26236
VD,20200221231500,25916
VD,20200221232000,25600
VD,20200221232500,25334
VD,20200221233000,25161
VD,20200221233500,25063
VD,20200221234000,25061
VD,20200221234500,24935
VD,20200221235000,24819
VD,20200221235500,24708
VD,20200222000000,24684
VD,20200222000500,24721
VD,20200222001000,24703
VD,20200222001500,24569
VD,20200222002000,24394
VD,20200222002500,24374
VD,20200222003000,24392
VD,20200222003500,24812
VD,20200222004000,25033
VD,20200222004500,25014
VD,20200222005000,24947
